system:index,area_km2,length_km,site_no,site_no_spec
0_0000000000000000006b,0.0683212729215496,0.916228235294118,mali_faleme_upper,mali_faleme_upper
0_0000000000000000006c,0.344641992964291,1.21751647058824,myanmar_chindwin_river_ningbyen_agm_region,myanmar_chindwin_river_ningbyen_agm_region
0_0000000000000000006d,0.355261409989819,2.58944117647059,myanmar_chindwin_river_ningbyen_agm_region,myanmar_chindwin_river_ningbyen_agm_region
0_0000000000000000006e,0.00757823673749831,0,myanmar_chindwin_river_ningbyen_agm_region,myanmar_chindwin_river_ningbyen_agm_region
0_0000000000000000006f,0.0151817296370788,0.459328235294118,myanmar_chindwin_river_ningbyen_agm_region,myanmar_chindwin_river_ningbyen_agm_region
0_00000000000000000070,0.0187140161042059,0.373609411764706,myanmar_chindwin_river_ningbyen_agm_region,myanmar_chindwin_river_ningbyen_agm_region
0_00000000000000000071,0.130308577255547,1.44843882352941,myanmar_chindwin_river_ningbyen_agm_region,myanmar_chindwin_river_ningbyen_agm_region
0_00000000000000000072,0.0360265022279375,0.874637647058824,myanmar_chindwin_river_ningbyen_agm_region,myanmar_chindwin_river_ningbyen_agm_region
0_00000000000000000073,0.0308062594607191,1.04454352941176,myanmar_chindwin_river_ningbyen_agm_region,myanmar_chindwin_river_ningbyen_agm_region
0_00000000000000000074,0.111225293343905,0.771275294117647,myanmar_chindwin_river_ningbyen_agm_region,myanmar_chindwin_river_ningbyen_agm_region
0_00000000000000000075,0.0373927118839471,0.339984705882353,myanmar_chindwin_river_ningbyen_agm_region,myanmar_chindwin_river_ningbyen_agm_region
0_00000000000000000076,0.115347138318327,2.29196823529412,myanmar_chindwin_river_ningbyen_agm_region,myanmar_chindwin_river_ningbyen_agm_region
0_00000000000000000077,0.14889102701386,1.64270117647059,myanmar_chindwin_river_ningbyen_agm_region,myanmar_chindwin_river_ningbyen_agm_region
0_00000000000000000078,0.0415568721040493,0.804783529411765,myanmar_chindwin_river_ningbyen_agm_region,myanmar_chindwin_river_ningbyen_agm_region
0_00000000000000000079,0.0885131451496488,1.26027176470588,myanmar_chindwin_river_ningbyen_agm_region,myanmar_chindwin_river_ningbyen_agm_region
0_0000000000000000007a,0.00979774861094334,0.357370588235294,myanmar_chindwin_river_ningbyen_agm_region,myanmar_chindwin_river_ningbyen_agm_region
0_0000000000000000007b,0.0244866207003109,1.27911176470588,myanmar_chindwin_river_ningbyen_agm_region,myanmar_chindwin_river_ningbyen_agm_region
0_0000000000000000007c,0.0415450733366778,0.863011764705882,myanmar_chindwin_river_ningbyen_agm_region,myanmar_chindwin_river_ningbyen_agm_region
0_0000000000000000007d,0.0467118411000785,0.785957647058824,myanmar_chindwin_river_ningbyen_agm_region,myanmar_chindwin_river_ningbyen_agm_region
0_0000000000000000007e,0.00742106895800711,0.159430588235294,myanmar_chindwin_river_ningbyen_agm_region,myanmar_chindwin_river_ningbyen_agm_region
0_0000000000000000007f,2.21359718809527,23.7864776470588,mongolia_gatsuurt_agm_region,mongolia_gatsuurt_agm_region
0_00000000000000000080,0.528202741826011,5.99923764705882,mongolia_gatsuurt_agm_region,mongolia_gatsuurt_agm_region
0_00000000000000000081,0.0050437667991441,0.0155294117647059,mongolia_gatsuurt_agm_region,mongolia_gatsuurt_agm_region
0_00000000000000000082,0.0227724336662283,0.684035294117647,mongolia_gatsuurt_agm_region,mongolia_gatsuurt_agm_region
0_00000000000000000083,0.087651946863397,0.784482352941177,mongolia_gatsuurt_agm_region,mongolia_gatsuurt_agm_region
0_00000000000000000084,0.666396011601194,9.3754094117647,mongolia_gatsuurt_agm_region,mongolia_gatsuurt_agm_region
0_00000000000000000085,0.885741402467209,8.4317894117647,nigeria_ijesa_agm_region_TSTM,nigeria_ijesa_agm_region_TSTM
0_00000000000000000086,0.706800576505861,8.9717294117647,nigeria_ijesa_agm_region_TSTM,nigeria_ijesa_agm_region_TSTM
0_00000000000000000087,0.117736773594937,1.50703058823529,nigeria_ijesa_agm_region_TSTM,nigeria_ijesa_agm_region_TSTM
0_00000000000000000088,0.178715154972449,2.71423764705882,nigeria_ijesa_agm_region_TSTM,nigeria_ijesa_agm_region_TSTM
0_00000000000000000089,0.0747941095556216,1.58673529411765,nigeria_ijesa_agm_region_TSTM,nigeria_ijesa_agm_region_TSTM
0_0000000000000000008a,0.84804953121735,8.46890117647058,nigeria_ijesa_agm_region_TSTM,nigeria_ijesa_agm_region_TSTM
0_0000000000000000008b,0.0905941024983484,1.60688117647059,nigeria_ijesa_agm_region_TSTM,nigeria_ijesa_agm_region_TSTM
0_0000000000000000008c,0.198663966016263,2.62299176470588,nigeria_ijesa_agm_region_TSTM,nigeria_ijesa_agm_region_TSTM
0_0000000000000000008d,0.980652122921591,10.6623458823529,nigeria_ijesa_agm_region_TSTM,nigeria_ijesa_agm_region_TSTM
0_0000000000000000008e,1.08136289981949,13.2477529411765,nigeria_ijesa_agm_region_TSTM,nigeria_ijesa_agm_region_TSTM
0_0000000000000000008f,0.187726922983048,3.67041176470588,nigeria_ijesa_agm_region_TSTM,nigeria_ijesa_agm_region_TSTM
0_00000000000000000090,0.143200767261263,2.57384823529412,russia_tumnin_agm_region_TSTM,russia_tumnin_agm_region_TSTM
0_00000000000000000091,0.00782230877356789,0,russia_tumnin_agm_region_TSTM,russia_tumnin_agm_region_TSTM
0_00000000000000000092,0.0957621310508387,1.35530470588235,russia_tumnin_agm_region_TSTM,russia_tumnin_agm_region_TSTM
0_00000000000000000093,0.0106828196275193,0.239223529411765,russia_tumnin_agm_region_TSTM,russia_tumnin_agm_region_TSTM
0_00000000000000000094,0.00907630592594518,0.261723529411765,russia_tumnin_agm_region_TSTM,russia_tumnin_agm_region_TSTM
0_00000000000000000095,0.298619247488901,3.04053529411765,russia_tumnin_agm_region_TSTM,russia_tumnin_agm_region_TSTM
0_00000000000000000096,0.31216310045193,5.67054705882353,russia_tumnin_agm_region_TSTM,russia_tumnin_agm_region_TSTM
0_00000000000000000097,0.408730064079075,2.49661411764706,senegal_river_gambie_agm_region_TSTM,senegal_river_gambie_agm_region_TSTM
0_00000000000000000098,2.13561567022369,14.4922270588235,senegal_river_gambie_agm_region_TSTM,senegal_river_gambie_agm_region_TSTM
0_00000000000000000099,0.137853546445032,0.781408235294118,peru_tournavista_agm_region_TSTM,peru_tournavista_agm_region_TSTM
0_0000000000000000009a,1.02600992338391,7.88307529411764,russia_novotroitsk_agm_region_TSTM,russia_novotroitsk_agm_region_TSTM
0_0000000000000000009b,2.11570818122953,15.2732152941176,russia_novotroitsk_agm_region_TSTM,russia_novotroitsk_agm_region_TSTM
0_0000000000000000009c,0.117944809580379,1.24529294117647,russia_novotroitsk_agm_region_TSTM,russia_novotroitsk_agm_region_TSTM
0_0000000000000000009d,0.313987428575081,4.11219882352941,russia_novotroitsk_agm_region_TSTM,russia_novotroitsk_agm_region_TSTM
0_0000000000000000009e,0.0385502825982992,1.90174588235294,russia_novotroitsk_agm_region_TSTM,russia_novotroitsk_agm_region_TSTM
0_0000000000000000009f,24.4580790404374,102.118891764706,peru_la_pampa_north_agm_region,peru_la_pampa_north_agm_region
0_000000000000000000a0,0.308782954096556,4.77949764705882,peru_la_pampa_north_agm_region,peru_la_pampa_north_agm_region
0_000000000000000000a1,5.19128786321686,23.3343917647059,peru_la_pampa_north_agm_region,peru_la_pampa_north_agm_region
0_000000000000000000a2,0.146204587537599,1.36649647058824,peru_la_pampa_north_agm_region,peru_la_pampa_north_agm_region
0_000000000000000000a3,2.20334262030095,12.0394411764706,peru_la_pampa_north_agm_region,peru_la_pampa_north_agm_region
0_000000000000000000a4,2.96943216164358,14.5284035294118,peru_la_pampa_north_agm_region,peru_la_pampa_north_agm_region
0_000000000000000000a5,3.5272926817993,10.0060376470588,peru_la_pampa_north_agm_region,peru_la_pampa_north_agm_region
0_000000000000000000a6,0.389779974407129,2.47119882352941,peru_la_pampa_north_agm_region,peru_la_pampa_north_agm_region
0_000000000000000000a7,1.57990025469683,3.78631764705882,peru_la_pampa_north_agm_region,peru_la_pampa_north_agm_region
0_000000000000000000a8,0.0960181088442493,1.16368588235294,indonesia_batang_hari_bedaro_agm_region,indonesia_batang_hari_bedaro_agm_region
0_000000000000000000a9,0.0153480644287504,0.0395294117647059,indonesia_batang_hari_bedaro_agm_region,indonesia_batang_hari_bedaro_agm_region
0_000000000000000000aa,8.24222763912157,33.3930317647059,indonesia_batang_hari_bedaro_agm_region,indonesia_batang_hari_bedaro_agm_region
0_000000000000000000ab,0.182198294282163,1.35615882352941,indonesia_batang_hari_bedaro_agm_region,indonesia_batang_hari_bedaro_agm_region
0_000000000000000000ac,3.03259144439679,23.3370282352941,myanmar_namsi_awng_agm_region,myanmar_namsi_awng_agm_region
0_000000000000000000ad,0.0570646312332779,1.35555529411765,myanmar_namsi_awng_agm_region,myanmar_namsi_awng_agm_region
0_000000000000000000ae,0.121823938441059,2.56519058823529,myanmar_namsi_awng_agm_region,myanmar_namsi_awng_agm_region
0_000000000000000000af,0.125561888550002,2.29778470588235,myanmar_namsi_awng_agm_region,myanmar_namsi_awng_agm_region
0_000000000000000000b0,0.0479495426420746,1.22690117647059,myanmar_namsi_awng_agm_region,myanmar_namsi_awng_agm_region
0_000000000000000000b1,0.524986896586607,5.60354470588235,myanmar_namsi_awng_agm_region,myanmar_namsi_awng_agm_region
0_000000000000000000b2,0.0248878664521592,0.808877647058823,myanmar_namsi_awng_agm_region,myanmar_namsi_awng_agm_region
0_000000000000000000b3,0.0234857822655002,0.925443529411765,myanmar_namsi_awng_agm_region,myanmar_namsi_awng_agm_region
