system:index,area_km2,length_km,site_no,sum,.geo
0000000000000000005a,0.018714016,0.373609412,myanmar_chindwin_river_ningbyen_agm_region_5,4.151215686,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005b,0.130308577,1.448438824,myanmar_chindwin_river_ningbyen_agm_region_6,16.09376471,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005c,0.036026502,0.874637647,myanmar_chindwin_river_ningbyen_agm_region_7,9.718196078,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005d,0.030806259,1.044543529,myanmar_chindwin_river_ningbyen_agm_region_8,11.60603922,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005e,0.111225293,0.771275294,myanmar_chindwin_river_ningbyen_agm_region_9,8.56972549,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005f,0.037392712,0.339984706,myanmar_chindwin_river_ningbyen_agm_region_10,3.777607843,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,0.115347138,2.291968235,myanmar_chindwin_river_ningbyen_agm_region_11,25.46631373,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,0.148891027,1.642701176,myanmar_chindwin_river_ningbyen_agm_region_12,18.25223529,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,0.041556872,0.804783529,myanmar_chindwin_river_ningbyen_agm_region_13,8.942039216,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,0.088513145,1.260271765,myanmar_chindwin_river_ningbyen_agm_region_14,14.00301961,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,0.009797749,0.357370588,myanmar_chindwin_river_ningbyen_agm_region_15,3.970784314,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,0.024486621,1.279111765,myanmar_chindwin_river_ningbyen_agm_region_16,14.21235294,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,0.041545073,0.863011765,myanmar_chindwin_river_ningbyen_agm_region_17,9.589019608,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,0.046711841,0.785957647,myanmar_chindwin_river_ningbyen_agm_region_18,8.732862745,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,0.007421069,0.159430588,myanmar_chindwin_river_ningbyen_agm_region_19,1.77145098,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,2.213597188,23.78647765,mongolia_gatsuurt_agm_region_1,264.2941961,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006a,0.528202742,5.999237647,mongolia_gatsuurt_agm_region_2,66.65819608,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006b,0.005043767,0.015529412,mongolia_gatsuurt_agm_region_3,0.17254902,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006c,0.022772434,0.684035294,mongolia_gatsuurt_agm_region_4,7.600392157,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006d,0.087651947,0.784482353,mongolia_gatsuurt_agm_region_5,8.716470588,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006e,0.666396012,9.375409412,mongolia_gatsuurt_agm_region_6,104.1712157,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006f,0.885741402,8.431789412,nigeria_ijesa_agm_region_TSTM_1,93.68654902,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,0.706800577,8.971729412,nigeria_ijesa_agm_region_TSTM_2,99.68588235,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,0.117736774,1.507030588,nigeria_ijesa_agm_region_TSTM_3,16.74478431,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,0.178715155,2.714237647,nigeria_ijesa_agm_region_TSTM_4,30.15819608,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,0.07479411,1.586735294,nigeria_ijesa_agm_region_TSTM_5,17.63039216,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,0.848049531,8.468901176,nigeria_ijesa_agm_region_TSTM_6,94.09890196,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,0.090594102,1.606881176,nigeria_ijesa_agm_region_TSTM_7,17.85423529,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,0.198663966,2.622991765,nigeria_ijesa_agm_region_TSTM_8,29.14435294,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,0.980652123,10.66234588,nigeria_ijesa_agm_region_TSTM_9,118.4705098,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,1.0813629,13.24775294,nigeria_ijesa_agm_region_TSTM_10,147.1972549,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,0.187726923,3.670411765,nigeria_ijesa_agm_region_TSTM_11,40.78235294,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007a,0.143200767,2.573848235,russia_tumnin_agm_region_TSTM_1,28.59831373,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007b,0.007822309,0,russia_tumnin_agm_region_TSTM_2,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007c,0.095762131,1.355304706,russia_tumnin_agm_region_TSTM_3,15.05894118,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007d,0.01068282,0.239223529,russia_tumnin_agm_region_TSTM_4,2.658039216,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e,0.009076306,0.261723529,russia_tumnin_agm_region_TSTM_5,2.908039216,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007f,0.298619247,3.040535294,russia_tumnin_agm_region_TSTM_6,33.78372549,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,0.3121631,5.670547059,russia_tumnin_agm_region_TSTM_7,63.00607843,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,0.075412051,1.672902353,phillipines_quiniput_downstream_agm_region_TSTM_1,18.58780392,"{""type"":""MultiPoint"",""coordinates"":[]}"
